Address,Zip_code,Municipality,Latitude,Longitude,Floor,Rooms,Area,Land_area,Price,Sqm_price,log_sqm_price,Price_development,Owner_expense,Sqm_owner_expenses,Yearly_expenses,First_year_expenses,Sqm_yearly_expenses,log_sqm_yearly_exp,Energy_saving,Days_on_market,School_dist,Metro_dist,Jail_dist,Centrum_coor
Dexter Gordons Vej 4 - HUSBÅD,2450,København,55.647486388894116,12.549647789548972,0,3,94,0,3995000,42500,10.657259354912508,0.0,6434,68.44680851063829,212952.0,407952.0,2265.446808510638,7.725527284913279,4.0,0,1.7401324756923537,2.288117151195481,1.8208531666531749,4.207828970710862
"Bernhard Bangs Alle 2, 2 41",2000,Frederiksberg,55.68445505536917,12.51235148477693,2,3,104,0,3749000,36048,10.492606662672024,0.0,3894,37.442307692307686,173650.8,363650.8,1669.7192307692308,7.420410765988273,4.0,0,1.1452559794158836,0.08524564052388468,2.933412788187971,3.359835159813432
"Robert Jacobsens Vej 5A, 6 tv",2300,Tårnby,55.623571645279206,12.57551527331463,6,3,74,0,3250000,43918,10.690079537805936,0.0,3331,45.01351351351353,150312.0,310312.0,2031.2432432432433,7.616403319669188,9.0,0,0.35154022331207807,0.45657775485040336,4.931614847784276,6.774193521310272
"Monica Zetterlunds Vej 17, tv",2450,København,55.646462,12.547626,0,4,120,0,8299000,69158,11.14414902092911,0.0,4664,38.86666666666667,337300.8,752300.8,2810.84,7.94123865004075,4.0,0,1.6419164186430644,2.406310041121193,1.881208614331411,4.350246737660529
"Nimbusparken 1, 2",2000,Frederiksberg,55.67963,12.514358999999999,2,3,129,0,7195000,55775,10.929081019300735,0.0,5308,41.14728682170543,307920.0,662920.0,2386.9767441860463,7.777782883595957,4.0,0,1.0650922143572943,0.46889876582860107,2.423018899801565,3.27280929009063
"Christiansvej 9, st TV",2600,Albertslund,55.66403004362493,12.38792691273996,0,3,69,0,1795000,26014,10.166390133623686,0.0,2369,34.333333333333336,89592.0,174592.0,1298.4347826086955,7.1689148046652695,2.0,0,1.2613755471022543,6.9871150603922,9.448225552198172,11.411335393930843
"Markskellet 11, 3 tv",2720,Frederiksberg,55.694161670507725,12.49171581481047,3,3,77,1911,2398000,31142,10.34631266940137,0.0,3554,46.15584415584416,123933.6,243933.6,1609.5272727272727,7.383695795439833,4.0,0,0.6899029815995458,0.7653647159659107,4.474830508615788,4.788214349510523
"Nattergalevej 38, st tv",2400,København,55.699156996620424,12.52986347606708,0,2,57,0,2595000,45526,10.726038870307336,0.0,2973,52.157894736842096,123960.0,248960.0,2174.7368421052633,7.684662944067133,3.0,0,0.08539029652524036,1.9690248864487256,2.25136687161981,2.807675449258301
"Monica Zetterlunds Vej 17, th",2450,København,55.646462,12.547626,0,4,113,0,5799000,51318,10.845796846808836,0.0,4386,38.8141592920354,249214.8,539214.8,2205.4407079646016,7.698682635467731,4.0,0,1.6419164186430644,2.406310041121193,1.881208614331411,4.350246737660529
"Monica Zetterlunds Vej 17, tv",2450,København,55.646462,12.547626,0,4,116,0,5499000,47405,10.766482987352061,0.0,4482,38.637931034482754,240196.8,515196.8,2070.662068965517,7.6356236752014395,4.0,0,1.6419164186430644,2.406310041121193,1.881208614331411,4.350246737660529
"Ahornsgade 15, st",2200,Frederiksberg,55.691599206189814,12.55958602166101,0,3,146,0,9950000,68150,11.129466437124679,0.0,7679,52.5958904109589,429618.0,924618.0,2942.5890410958905,7.98704509903204,1.0,0,0.19506886972424012,1.1572692746661166,0.20284230805560083,0.9142479939880458
"Monica Zetterlunds Vej 17, tv",2450,København,55.646462,12.547626,0,4,116,0,5899000,50853,10.836694396786596,0.0,4508,38.862068965517246,254068.8,549068.8,2190.248275862069,7.691770184358431,4.0,0,1.6419164186430644,2.406310041121193,1.881208614331411,4.350246737660529
"Topperne 16, 1 11",2620,Albertslund,55.67066340446053,12.34147402848666,1,4,97,0,2100000,21649,9.98271454298743,0.0,3477,35.845360824742265,112914.0,217914.0,1164.0618556701033,7.059670767489525,4.0,0,2.700656261020808,9.591407682335813,12.402685237964835,14.19027656160078
"Strandlodsvej 25E, st th",2300,Tårnby,55.66454354341585,12.623414643026788,0,4,92,0,3995000,43423,10.678744533629564,0.0,3351,36.42391304347826,175956.0,370956.0,1912.5652173913047,7.556200665716039,8.0,0,1.9684467060077344,0.46000832890223226,3.307813744701317,4.234289597015673
"Holmbladsgade 105, 1 TV",2300,Tårnby,55.66712395343119,12.615810228941,1,2,54,0,2350000,43518,10.680929924591467,0.0,2006,37.14814814814815,103902.0,218902.0,1924.111111111111,7.562219379615931,3.0,0,2.4340185006688593,0.5400690684176996,2.7815605813026125,3.676130217390121
"Monica Zetterlunds Vej 17, th",2450,København,55.646462,12.547626,0,3,106,0,4999000,47160,10.761301354651305,0.0,4060,38.30188679245283,218182.8,468182.8,2058.328301886793,7.629649428397611,4.0,0,1.6419164186430644,2.406310041121193,1.881208614331411,4.350246737660529
"Tuborg Havnepark 6, 3 th",2900,Gentofte,55.72495486776415,12.582873482233381,3,3,131,0,9500000,72519,11.191603875474213,0.0,5071,38.709923664122144,382902.0,857902.0,2922.916030534351,7.980337037546492,4.0,0,1.565217502632472,4.697502883385427,3.98364769604862,4.666911090379092
"Monica Zetterlunds Vej 17, th",2450,København,55.646462,12.547626,0,4,120,0,5499000,45825,10.732585072707906,0.0,4664,38.86666666666667,242380.8,517380.8,2019.84,7.610773579337344,4.0,0,1.6419164186430644,2.406310041121193,1.881208614331411,4.350246737660529
"Monica Zetterlunds Vej 17, tv",2450,København,55.646462,12.547626,0,4,116,0,5699000,49129,10.802204770793118,0.0,4508,38.862068965517246,247288.8,532288.8,2131.8,7.664721972255037,4.0,0,1.6419164186430644,2.406310041121193,1.881208614331411,4.350246737660529
"Monica Zetterlunds Vej 17, th",2450,København,55.646462,12.547626,0,4,113,0,5699000,50433,10.828401001701168,0.0,4386,38.8141592920354,245824.8,530824.8,2175.4407079646016,7.684986547348784,4.0,0,1.6419164186430644,2.406310041121193,1.881208614331411,4.350246737660529
"Wagnersvej 45, TH",2450,København,55.64650292712072,12.525152041814529,0,2,63,0,2195000,34841,10.45855013319517,0.0,2298,36.476190476190474,102300.0,207300.0,1623.8095238095239,7.392530225548185,4.0,0,0.46439937766036915,3.756241755943221,1.9532018174999841,4.91074262480479
"Monica Zetterlunds Vej 17, tv",2450,København,55.646462,12.547626,0,4,116,0,5599000,48267,10.784503376319144,0.0,4508,38.862068965517246,243898.8,523898.8,2102.5758620689653,7.650918473036342,4.0,0,1.6419164186430644,2.406310041121193,1.881208614331411,4.350246737660529
"Søndre Fasanvej 87E, st 4",2000,Frederiksberg,55.668777439211595,12.51818396664747,0,2,59,0,2275000,38559,10.55994481477824,0.0,2316,39.2542372881356,105162.0,215162.0,1782.4067796610173,7.485719853395512,4.0,0,1.3906725301527114,1.4926621569116107,1.4331372763616865,3.449058097565306
"Monica Zetterlunds Vej 17, th",2450,København,55.646462,12.547626,0,4,114,0,6149000,53938,10.895590517771229,0.0,4426,38.824561403508774,261394.8,571394.8,2292.936842105263,7.737588738695428,4.0,0,1.6419164186430644,2.406310041121193,1.881208614331411,4.350246737660529
"Skjoldagervej 84, st tv",2820,Gladsaxe,55.76087057120052,12.52813936786623,0,3,72,0,2495000,34652,10.453110723010033,0.0,3010,41.805555555555564,121014.0,241014.0,1680.75,7.426995401349147,2.0,0,2.0167323650316837,8.516189133140152,8.071153129927929,8.861255464475253
"Monica Zetterlunds Vej 17, tv",2450,København,55.646462,12.547626,0,4,116,0,5799000,49991,10.819598268208336,0.0,4508,38.862068965517246,250678.8,540678.8,2161.0241379310346,7.678337526241374,4.0,0,1.6419164186430644,2.406310041121193,1.881208614331411,4.350246737660529
"Amerika Plads 8, 6 tv",2100,København,55.69869090436633,12.593905474998381,6,4,110,0,5495000,49954,10.818857860950539,0.0,4507,40.972727272727276,240678.0,510678.0,2187.9818181818177,7.690734853718414,5.0,0,0.89008240347253,2.1936482299323314,2.1414644189489285,2.397332263016895
"Badstuestræde 10A, 2 tv",1209,København,55.67814854776864,12.57500812641902,2,3,70,0,3495000,49928,10.818337246613881,0.0,3487,49.81428571428572,160638.0,330638.0,2294.828571428572,7.738413423159435,4.0,0,0.5812272483806308,0.5984855133366014,0.14026186598524273,0.8871357337122522
"Paulas Passage 3, 1",1799,København,55.666314497441476,12.531293716031712,1,4,93,0,5995000,64462,11.073831181881586,0.0,3807,40.935483870967744,249228.0,544228.0,2679.870967741936,7.8935239259808805,8.0,0,1.455699942189217,1.6732714503796342,0.6029086162979167,2.941699605572422
"Paulas Passage 3, 4",1799,København,55.66745284376803,12.53173043153657,4,3,80,0,4495000,56187,10.936440692397964,0.0,3225,40.3125,191394.0,411394.0,2392.425,7.780062774873369,8.0,0,1.3462879392542164,1.5444566207015333,0.6824040144385963,2.8367783308466468
"Paulas Passage 3, 6",1799,København,55.66745284376803,12.53173043153657,6,4,93,0,4745000,51021,10.839992591660524,0.0,3807,40.935483870967744,206688.0,441688.0,2222.451612903226,7.706366195678942,8.0,0,1.3462879392542164,1.5444566207015333,0.6824040144385963,2.8367783308466468
"Lyneborggade 8, 1 tv",2300,Tårnby,55.665092712625,12.609370804857768,1,3,72,0,2895000,40208,10.601821259783373,0.0,2663,36.986111111111114,130410.0,270410.0,1811.25,7.501772493634893,3.0,0,2.2912833080473805,0.4220786625853087,2.437522658495441,3.469379263772145
"Midtermolen 2, 1 TH",2100,København,55.695858140544814,12.597291053746641,1,4,99,0,4995000,50454,10.828817309060952,-0.1,5913,59.72727272727273,240600.0,485600.0,2430.3030303030305,7.795771232388126,4.0,0,1.2480396182021427,1.9584574455519035,2.242908926172412,2.371890982846956
"Paulas Passage 3, 1",1799,København,55.66745284376803,12.53173043153657,1,4,93,0,4795000,51559,10.85048206198529,0.0,3807,40.935483870967744,208548.0,443548.0,2242.451612903226,7.715325016399477,8.0,0,1.3462879392542164,1.5444566207015333,0.6824040144385963,2.8367783308466468
"Paulas Passage 3, 1",1799,København,55.66745284376803,12.53173043153657,1,4,93,0,4845000,52096,10.860843449362214,0.0,3807,40.935483870967744,210078.0,450078.0,2258.903225806452,7.7226346761552636,8.0,0,1.3462879392542164,1.5444566207015333,0.6824040144385963,2.8367783308466468
"Paulas Passage 3, 2",1799,København,55.66745284376803,12.53173043153657,2,3,80,0,4495000,56187,10.936440692397964,0.0,3225,40.3125,191394.0,411394.0,2392.425,7.780062774873369,8.0,0,1.3462879392542164,1.5444566207015333,0.6824040144385963,2.8367783308466468
"Paulas Passage 3, 4",1799,København,55.66745284376803,12.53173043153657,4,2,53,0,3145000,59339,10.99102204166372,0.0,2023,38.16981132075472,131040.0,286040.0,2472.4528301886794,7.812965985534775,8.0,0,1.3462879392542164,1.5444566207015333,0.6824040144385963,2.8367783308466468
"Paulas Passage 3, 2",1799,København,55.66627056988163,12.531257939377051,2,5,122,0,7995000,65532,11.090293851940157,0.0,5078,41.622950819672134,332280.0,727280.0,2723.606557377049,7.909712221219753,8.0,0,1.4608041359758535,1.6783673330211872,0.6010355112337894,2.946665027170372
"Paulas Passage 3, 1",1799,København,55.66745284376803,12.53173043153657,1,4,93,0,4995000,53709,10.891335864219382,0.0,3807,40.935483870967744,215328.0,460328.0,2315.3548387096776,7.747318232834789,8.0,0,1.3462879392542164,1.5444566207015333,0.6824040144385963,2.8367783308466468
"Paulas Passage 3, 4",1799,København,55.66745284376803,12.53173043153657,4,2,53,0,3745000,70660,11.165634920913137,0.0,2023,38.16981132075472,151380.0,336380.0,2856.22641509434,7.957256597311036,8.0,0,1.3462879392542164,1.5444566207015333,0.6824040144385963,2.8367783308466468
"Paulas Passage 3, 1",1799,København,55.666198823329964,12.531251470927598,1,4,93,0,5495000,59086,10.986749288699293,0.0,3807,40.935483870967744,232278.0,502278.0,2497.612903225807,7.823090715997745,8.0,0,1.466911361596875,1.6863547364569418,0.5957216312320022,2.9523728097916027
"Topperne 6, 3 32",2620,Albertslund,55.67096904352685,12.34081602279594,3,2,49,0,1050000,21428,9.972453757000851,0.0,2562,52.28571428571429,66504.0,116504.0,1357.2244897959183,7.213197077100299,4.0,0,2.7057900280993823,9.625505686069896,12.446475184085298,14.227831070806651
