,Address,Zip_code,Municipality,Latitude,Longitude,Floor,Rooms,Area,Land_area,log_sqm_price,Sqm_price,Price,Owner_expense,Price_development,Energy_saving,Days_on_market,School_dist,Metro_dist,Jail_dist,Centrum_coor
27,"Monica Zetterlunds Vej 17, th",2450,København,55.646462,12.547626,0,4,120,0,10.732585072707906,45825,5499000,4664,0.0,5.0,0,1.6419164186430644,2.406310041121237,1.881208614331411,4.350246737660529
28,"Monica Zetterlunds Vej 17, tv",2450,København,55.646462,12.547626,0,4,116,0,10.802204770793118,49129,5699000,4508,0.0,5.0,0,1.6419164186430644,2.406310041121237,1.881208614331411,4.350246737660529
29,"Monica Zetterlunds Vej 17, th",2450,København,55.646462,12.547626,0,4,113,0,10.828401001701168,50433,5699000,4386,0.0,5.0,0,1.6419164186430644,2.406310041121237,1.881208614331411,4.350246737660529
30,"Wagnersvej 45, TH",2450,København,55.64650292712072,12.525152041814529,0,2,63,0,10.45855013319517,34841,2195000,2298,0.0,4.0,0,0.46439937766072464,3.7562417559428662,1.9532018175003376,4.910742624805498
31,"Monica Zetterlunds Vej 17, tv",2450,København,55.646462,12.547626,0,4,116,0,10.784503376319144,48267,5599000,4508,0.0,5.0,0,1.6419164186430644,2.406310041121237,1.881208614331411,4.350246737660529
32,"Søndre Fasanvej 87E, st 4",2000,Frederiksberg,55.668777439211595,12.51818396664747,0,2,59,0,10.55994481477824,38559,2275000,2316,0.0,4.0,0,1.3906725301527114,1.4926621569116107,1.4331372763616865,3.449058097565306
33,"Monica Zetterlunds Vej 17, th",2450,København,55.646462,12.547626,0,4,114,0,10.895590517771229,53938,6149000,4426,0.0,5.0,0,1.6419164186430644,2.406310041121237,1.881208614331411,4.350246737660529
34,"Skjoldagervej 84, st tv",2820,Gladsaxe,55.76087057120052,12.52813936786623,0,3,72,0,10.453110723010033,34652,2495000,3010,0.0,2.0,0,2.0167323650316837,8.51618913313945,8.071153129927577,8.8612554644749
35,"Monica Zetterlunds Vej 17, tv",2450,København,55.646462,12.547626,0,4,116,0,10.819598268208336,49991,5799000,4508,0.0,5.0,0,1.6419164186430644,2.406310041121237,1.881208614331411,4.350246737660529
36,"Amerika Plads 8, 6 tv",2100,København,55.69869090436633,12.593905474998381,6,4,110,0,10.818857860950539,49954,5495000,4507,0.0,5.0,0,0.89008240347253,2.1936482299323314,2.1414644189489285,2.397332263016895
37,"Badstuestræde 10A, 2 tv",1209,København,55.67814854776864,12.57500812641902,2,3,70,0,10.818337246613881,49928,3495000,3487,0.0,5.0,0,0.5812272483806308,0.5984855133366014,0.14026186598524273,0.8871357337122522
38,"Paulas Passage 3, 1",1799,København,55.666314497441476,12.531293716031712,1,4,93,0,11.073831181881586,64462,5995000,3807,0.0,8.0,0,1.455699942189217,1.6732714503796342,0.6029086162979167,2.941699605572422
39,"Paulas Passage 3, 4",1799,København,55.66745284376803,12.53173043153657,4,3,80,0,10.936440692397964,56187,4495000,3225,0.0,8.0,0,1.3462879392542164,1.5444566207015333,0.6824040144385963,2.8367783308466468
40,"Paulas Passage 3, 6",1799,København,55.66745284376803,12.53173043153657,6,4,93,0,10.839992591660524,51021,4745000,3807,0.0,8.0,0,1.3462879392542164,1.5444566207015333,0.6824040144385963,2.8367783308466468
41,"Lyneborggade 8, 1 tv",2300,Tårnby,55.665092712625,12.609370804857768,1,3,72,0,10.601821259783373,40208,2895000,2663,0.0,3.0,0,2.2912833080473805,0.4220786625853087,2.437522658495441,3.469379263772145
42,"Midtermolen 2, 1 TH",2100,København,55.695858140544814,12.597291053746641,1,4,99,0,10.828817309060952,50454,4995000,5913,-0.1,4.0,0,1.2480396182021427,1.9584574455519035,2.242908926172412,2.371890982846956
43,"Paulas Passage 3, 1",1799,København,55.66745284376803,12.53173043153657,1,4,93,0,10.85048206198529,51559,4795000,3807,0.0,8.0,0,1.3462879392542164,1.5444566207015333,0.6824040144385963,2.8367783308466468
44,"Paulas Passage 3, 1",1799,København,55.66745284376803,12.53173043153657,1,4,93,0,10.860843449362214,52096,4845000,3807,0.0,8.0,0,1.3462879392542164,1.5444566207015333,0.6824040144385963,2.8367783308466468
45,"Paulas Passage 3, 2",1799,København,55.66745284376803,12.53173043153657,2,3,80,0,10.936440692397964,56187,4495000,3225,0.0,8.0,0,1.3462879392542164,1.5444566207015333,0.6824040144385963,2.8367783308466468
46,"Paulas Passage 3, 4",1799,København,55.66745284376803,12.53173043153657,4,2,53,0,10.99102204166372,59339,3145000,2023,0.0,8.0,0,1.3462879392542164,1.5444566207015333,0.6824040144385963,2.8367783308466468
47,"Paulas Passage 3, 2",1799,København,55.66627056988163,12.531257939377051,2,5,122,0,11.090293851940157,65532,7995000,5078,0.0,8.0,0,1.4608041359758535,1.6783673330211872,0.6010355112337894,2.946665027170372
48,"Paulas Passage 3, 1",1799,København,55.66745284376803,12.53173043153657,1,4,93,0,10.891335864219382,53709,4995000,3807,0.0,8.0,0,1.3462879392542164,1.5444566207015333,0.6824040144385963,2.8367783308466468
49,"Paulas Passage 3, 4",1799,København,55.66745284376803,12.53173043153657,4,2,53,0,11.165634920913137,70660,3745000,2023,0.0,8.0,0,1.3462879392542164,1.5444566207015333,0.6824040144385963,2.8367783308466468
50,"Paulas Passage 3, 1",1799,København,55.666198823329964,12.531251470927598,1,4,93,0,10.986749288699293,59086,5495000,3807,0.0,8.0,0,1.466911361596875,1.6863547364569418,0.5957216312320022,2.9523728097916027
51,"Topperne 6, 3 32",2620,Albertslund,55.67096904352685,12.34081602279594,3,2,49,0,9.972453757000851,21428,1050000,2562,0.0,4.0,0,2.7057900280993823,9.625505686069896,12.446475184085298,14.227831070806651
52,"Paulas Passage 3, 3",1799,København,55.666706361241324,12.531424495964188,3,2,53,0,11.152185125641573,69716,3695000,2023,0.0,8.0,0,1.4185088048464147,1.6290350814065897,0.629203434094892,2.90627021011419
53,"Paulas Passage 3, 4",1799,København,55.666368307351895,12.53129856744502,4,4,93,0,11.073831181881586,64462,5995000,3807,0.0,8.0,0,1.451136139830419,1.6672806428110902,0.6069697740764,2.9374287546065525
54,"Paulas Passage 3, 4",1799,København,55.66621675996802,12.53125308803723,4,4,93,0,10.977602209603836,58548,5445000,3807,0.0,8.0,0,1.4653828486450067,1.6843578758841586,0.5970444899224445,2.9509448667746674
55,"Ålandsgade 15, st tv",2300,Tårnby,55.663903887840775,12.6051570864917,0,4,77,0,10.481476374958138,35649,2745000,3357,0.0,3.0,0,2.1084242388539836,0.12877851387126665,2.230140799344549,3.3514235039376494
56,"Paulas Passage 3, 3",1799,København,55.66745284376803,12.53173043153657,3,2,53,0,11.165634920913137,70660,3745000,1824,0.0,8.0,0,1.3462879392542164,1.5444566207015333,0.6824040144385963,2.8367783308466468
57,"Paulas Passage 3, 3",1799,København,55.66745284376803,12.53173043153657,3,2,53,0,11.022327214884207,61226,3245000,2023,0.0,8.0,0,1.3462879392542164,1.5444566207015333,0.6824040144385963,2.8367783308466468
58,"Paulas Passage 3, 1",1799,København,55.666313126374675,12.53134131681666,1,4,93,0,10.940171244582071,56397,5245000,3807,0.0,8.0,0,1.453758219006204,1.673120206408702,0.6006971328515788,2.9395956881898715
59,"Paulas Passage 3, 2",1799,København,55.66626919882942,12.531305540110528,2,5,122,0,10.942279062885698,56516,6895000,5078,0.0,8.0,0,1.4588650952418734,1.678212974489968,0.5988070946866898,2.944562620745768
60,"Paulas Passage 3, 3",1799,København,55.66745284376803,12.53173043153657,3,2,53,0,11.006805419252558,60283,3195000,2023,0.0,8.0,0,1.3462879392542164,1.5444566207015333,0.6824040144385963,2.8367783308466468
61,"Vesterbrogade 192, 5 25",1800,Frederiksberg,55.670736290500564,12.5341743835411,5,3,74,2311,10.608365655971774,40472,2995000,2562,0.0,4.0,0,0.9946426969823371,1.1722698016775503,0.9524248907537951,2.487029837996484
62,"Paulas Passage 3, 2",1799,København,55.666240922804796,12.531350715102867,2,5,122,0,10.882508922311336,53237,6495000,5078,0.0,8.0,0,1.4592237968840895,1.6810597674073569,0.594570771639548,2.944603993910743
63,"Paulas Passage 3, 4",1799,København,55.66745284376803,12.53173043153657,4,2,53,0,10.958705095551712,57452,3045000,2023,0.0,8.0,0,1.3462879392542164,1.5444566207015333,0.6824040144385963,2.8367783308466468
64,"Paulas Passage 3, 2",1799,København,55.66660999491417,12.531336266056249,2,5,122,0,10.998677324402909,59795,7295000,5078,0.0,8.0,0,1.4300711814379599,1.6402706911536076,0.6249195639446146,2.917578063177046
65,"Paulas Passage 3, 3",1799,København,55.666293818654296,12.53138730042002,3,2,53,0,11.082142548877776,65000,3445000,2023,0.0,8.0,0,1.453347741484578,1.6749716288027323,0.5971360325175511,2.938920322686056
66,"Paulas Passage 3, 5",1799,København,55.666247605965616,12.5314308581851,5,4,93,0,10.968370688460109,58010,5395000,3807,0.0,8.0,0,1.4552444590869715,1.6798249786253285,0.5915454770981533,2.9403934979880284
67,"Paulas Passage 3, 3",1799,København,55.666240922804796,12.531350715102867,3,5,122,0,11.090293851940157,65532,7995000,5078,0.0,8.0,0,1.4592237968840895,1.6810597674073569,0.594570771639548,2.944603993910743
68,"Paulas Passage 3, 5",1799,København,55.66629518973862,12.53133969966086,5,4,93,0,10.920925938415131,55322,5145000,3807,0.0,8.0,0,1.4552838305905442,1.6751173351475326,0.5993456456907474,2.941021664319653
69,"Paulas Passage 3, 5",1799,København,55.66745284376803,12.53173043153657,5,3,80,0,11.090751538798802,65562,5245000,2896,0.0,8.0,0,1.3462879392542164,1.5444566207015333,0.6824040144385963,2.8367783308466468
70,"Paulas Passage 3, 3",1799,København,55.66745284376803,12.53173043153657,3,2,53,0,10.99102204166372,59339,3145000,2023,0.0,8.0,0,1.3462879392542164,1.5444566207015333,0.6824040144385963,2.8367783308466468
71,"Paulas Passage 3, 2",1799,København,55.66624229387407,12.53130311440603,2,5,122,0,11.025718706802873,61434,7495000,5078,0.0,8.0,0,1.461156204701895,1.68120851357443,0.5967999322027371,2.9467033178403828
72,"Paulas Passage 3, 1",1799,København,55.66745284376803,12.53173043153657,1,5,81,0,11.039443794344661,62283,5045000,3807,0.0,8.0,0,1.3462879392542164,1.5444566207015333,0.6824040144385963,2.8367783308466468
73,"Paulas Passage 3, 4",1799,København,55.666701963202755,12.531265016515341,4,3,80,0,11.031852799353583,61812,4945000,3225,0.0,8.0,0,1.4258816570753345,1.6305541464442779,0.635515215920726,2.9140635259668466
74,"Paulas Passage 3, 3",1799,København,55.66663415766963,12.531433894160712,3,2,53,0,11.138566505035513,68773,3645000,2023,0.0,8.0,0,1.4238646903464256,1.6369753531061206,0.6227974094391066,2.9112160185446316
75,"Paulas Passage 3, 4",1799,København,55.666313126374675,12.53134131681666,4,3,80,0,10.979973516212516,58687,4695000,3225,0.0,8.0,0,1.453758219006204,1.673120206408702,0.6006971328515788,2.9395956881898715
76,"Paulas Passage 3, 1",1799,København,55.666706361241324,12.531424495964188,1,4,93,0,10.977602209603836,58548,5445000,3807,0.0,8.0,0,1.4185088048464147,1.6290350814065897,0.629203434094892,2.90627021011419
77,"Paulas Passage 3, 2",1799,København,55.66745284376803,12.53173043153657,2,3,80,0,10.902500475981483,54312,4345000,2042,0.0,8.0,0,1.3462879392542164,1.5444566207015333,0.6824040144385963,2.8367783308466468
