lat;long
55645363;12585795
55638145;12582946
55629230;12579411
55619471;12575602
55663673;12603152
55662302;12616745
55661827;12628922
55656162;12631535
55645728;12638520
55635874;12647257
55630500;12649284
55687297;12491070
55685651;12499030
55683764;12512935
55681822;12523662
55681265;12534009
55681856;12553176
55683223;12571869
55679555;12585598
55672390;12591528
55663687;12585849
55656078;12589730
