Address,Zip_code,Municipality,Latitude,Longitude,Floor,Rooms,Area,Land_area,log_sqm_price,Sqm_price,Price,Owner_expense,Yearly_expenses,First_year_expenses,log_yearly_sqm_exp,Price_development,Energy_saving,Days_on_market
"Monica Zetterlunds Vej 17, th",2450,København,55.646462,12.547626,0,4,113,0,10.828401001701168,50433,5699000,4386,245824.8,530824.8,7.684986547348784,0.0,5.0,0
"Wagnersvej 45, TH",2450,København,55.64650292712073,12.52515204181453,0,2,63,0,10.45855013319517,34841,2195000,2298,102300.0,207300.0,7.392530225548185,0.0,4.0,0
"Monica Zetterlunds Vej 17, tv",2450,København,55.646462,12.547626,0,4,116,0,10.784503376319144,48267,5599000,4508,243898.8,523898.8,7.650918473036343,0.0,5.0,0
"Søndre Fasanvej 87E, st 4",2000,Frederiksberg,55.66877743921159,12.51818396664747,0,2,59,0,10.559944814778241,38559,2275000,2316,105162.0,215162.0,7.485719853395511,0.0,4.0,0
"Monica Zetterlunds Vej 17, th",2450,København,55.646462,12.547626,0,4,114,0,10.89559051777123,53938,6149000,4426,261394.8,571394.8,7.737588738695429,0.0,5.0,0
"Skjoldagervej 84, st tv",2820,Gladsaxe,55.76087057120052,12.52813936786623,0,3,72,0,10.453110723010031,34652,2495000,3010,121014.0,241014.0,7.426995401349146,0.0,2.0,0
"Monica Zetterlunds Vej 17, tv",2450,København,55.646462,12.547626,0,4,116,0,10.819598268208338,49991,5799000,4508,250678.8,540678.8,7.678337526241374,0.0,5.0,0
"Amerika Plads 8, 6 tv",2100,København,55.69869090436633,12.59390547499838,6,4,110,0,10.81885786095054,49954,5495000,4507,240678.0,510678.0,7.690734853718414,0.0,5.0,0
"Badstuestræde 10A, 2 tv",1209,København,55.67814854776864,12.57500812641902,2,3,70,0,10.81833724661388,49928,3495000,3487,160638.0,330638.0,7.738413423159435,0.0,5.0,0
"Paulas Passage 3, 1",1799,København,55.66631449744148,12.53129371603171,1,4,93,0,11.073831181881586,64462,5995000,3807,249228.0,544228.0,7.89352392598088,0.0,8.0,0
"Paulas Passage 3, 4",1799,København,55.66745284376803,12.53173043153657,4,3,80,0,10.936440692397964,56187,4495000,3225,191394.0,411394.0,7.780062774873369,0.0,8.0,0
"Paulas Passage 3, 6",1799,København,55.66745284376803,12.53173043153657,6,4,93,0,10.839992591660524,51021,4745000,3807,206688.0,441688.0,7.706366195678943,0.0,8.0,0
"Lyneborggade 8, 1 tv",2300,Tårnby,55.665092712625,12.60937080485777,1,3,72,0,10.601821259783373,40208,2895000,2663,130410.0,270410.0,7.501772493634892,0.0,3.0,0
"Midtermolen 2, 1 TH",2100,København,55.69585814054481,12.59729105374664,1,4,99,0,10.828817309060954,50454,4995000,5913,240600.0,485600.0,7.795771232388126,-0.1,4.0,0
"Paulas Passage 3, 1",1799,København,55.66745284376803,12.53173043153657,1,4,93,0,10.85048206198529,51559,4795000,3807,208548.0,443548.0,7.715325016399478,0.0,8.0,0
"Paulas Passage 3, 1",1799,København,55.66745284376803,12.53173043153657,1,4,93,0,10.860843449362212,52096,4845000,3807,210078.0,450078.0,7.722634676155263,0.0,8.0,0
"Paulas Passage 3, 2",1799,København,55.66745284376803,12.53173043153657,2,3,80,0,10.936440692397964,56187,4495000,3225,191394.0,411394.0,7.780062774873369,0.0,8.0,0
"Paulas Passage 3, 4",1799,København,55.66745284376803,12.53173043153657,4,2,53,0,10.991022041663719,59339,3145000,2023,131040.0,286040.0,7.812965985534775,0.0,8.0,0
"Paulas Passage 3, 2",1799,København,55.66627056988163,12.53125793937705,2,5,122,0,11.090293851940155,65532,7995000,5078,332280.0,727280.0,7.909712221219752,0.0,8.0,0
"Paulas Passage 3, 1",1799,København,55.66745284376803,12.53173043153657,1,4,93,0,10.891335864219382,53709,4995000,3807,215328.0,460328.0,7.747318232834789,0.0,8.0,0
"Paulas Passage 3, 4",1799,København,55.66745284376803,12.53173043153657,4,2,53,0,11.165634920913137,70660,3745000,2023,151380.0,336380.0,7.957256597311036,0.0,8.0,0
"Paulas Passage 3, 1",1799,København,55.66619882332996,12.5312514709276,1,4,93,0,10.986749288699293,59086,5495000,3807,232278.0,502278.0,7.823090715997745,0.0,8.0,0
"Topperne 6, 3 32",2620,Albertslund,55.67096904352685,12.34081602279594,3,2,49,0,9.972453757000851,21428,1050000,2562,66504.0,116504.0,7.213197077100298,0.0,4.0,0
"Paulas Passage 3, 3",1799,København,55.66670636124132,12.53142449596419,3,2,53,0,11.152185125641573,69716,3695000,2023,149850.0,329850.0,7.947098159192687,0.0,8.0,0
"Paulas Passage 3, 4",1799,København,55.66636830735189,12.53129856744502,4,4,93,0,11.073831181881586,64462,5995000,3807,249228.0,544228.0,7.89352392598088,0.0,8.0,0
"Paulas Passage 3, 4",1799,København,55.66621675996802,12.53125308803723,4,4,93,0,10.977602209603837,58548,5445000,3807,230418.0,500418.0,7.815050836599019,0.0,8.0,0
"Ålandsgade 15, st tv",2300,Tårnby,55.66390388784077,12.6051570864917,0,4,77,0,10.481476374958136,35649,2745000,3357,133488.0,268488.0,7.457961443288172,0.0,3.0,0
"Paulas Passage 3, 3",1799,København,55.66745284376803,12.53173043153657,3,2,53,0,11.165634920913137,70660,3745000,1824,148992.0,333992.0,7.941355978658878,0.0,8.0,0
"Paulas Passage 3, 3",1799,København,55.66745284376803,12.53173043153657,3,2,53,0,11.022327214884207,61226,3245000,2023,134430.0,294430.0,7.838506982896177,0.0,8.0,0
"Paulas Passage 3, 1",1799,København,55.66631312637467,12.53134131681666,1,4,93,0,10.940171244582071,56397,5245000,3807,223638.0,483638.0,7.78518445900332,0.0,8.0,0
"Paulas Passage 3, 2",1799,København,55.66626919882942,12.53130554011053,2,5,122,0,10.942279062885698,56516,6895000,5078,294990.0,634990.0,7.790675691709055,0.0,8.0,0
"Paulas Passage 3, 3",1799,København,55.66745284376803,12.53173043153657,3,2,53,0,11.006805419252556,60283,3195000,2023,132900.0,287900.0,7.827060331149215,0.0,8.0,0
"Vesterbrogade 192, 5 25",1800,Frederiksberg,55.67073629050056,12.5341743835411,5,3,74,2311,10.608365655971772,40472,2995000,2562,132588.0,277588.0,7.4909367616970055,0.0,4.0,0
"Paulas Passage 3, 2",1799,København,55.6662409228048,12.53135071510287,2,5,122,0,10.882508922311338,53237,6495000,5078,281430.0,601430.0,7.7436179830548495,0.0,8.0,0
"Paulas Passage 3, 4",1799,København,55.66745284376803,12.53173043153657,4,2,53,0,10.958705095551714,57452,3045000,2023,127650.0,277650.0,7.7867555091175085,0.0,8.0,0
"Paulas Passage 3, 2",1799,København,55.66660999491417,12.53133626605625,2,5,122,0,10.998677324402907,59795,7295000,5078,308550.0,668550.0,7.835618139015956,0.0,8.0,0
"Paulas Passage 3, 3",1799,København,55.6662938186543,12.53138730042002,3,2,53,0,11.082142548877775,65000,3445000,2023,141210.0,311210.0,7.887711509511176,0.0,8.0,0
"Paulas Passage 3, 5",1799,København,55.66624760596562,12.5314308581851,5,4,93,0,10.96837068846011,58010,5395000,3807,228888.0,493888.0,7.808388586773602,0.0,8.0,0
"Paulas Passage 3, 3",1799,København,55.6662409228048,12.53135071510287,3,5,122,0,11.090293851940155,65532,7995000,5078,332280.0,727280.0,7.909712221219752,0.0,8.0,0
"Paulas Passage 3, 5",1799,København,55.66629518973862,12.53133969966086,5,4,93,0,10.92092593841513,55322,5145000,3807,220248.0,475248.0,7.769909970013703,0.0,8.0,0
"Paulas Passage 3, 5",1799,København,55.66745284376803,12.53173043153657,5,3,80,0,11.0907515387988,65562,5245000,2896,212706.0,472706.0,7.885639574861298,0.0,8.0,0
"Paulas Passage 3, 3",1799,København,55.66745284376803,12.53173043153657,3,2,53,0,10.991022041663719,59339,3145000,2023,131040.0,286040.0,7.812965985534775,0.0,8.0,0
"Paulas Passage 3, 2",1799,København,55.66624229387407,12.53130311440603,2,5,122,0,11.025718706802872,61434,7495000,5078,315330.0,685330.0,7.857353943752253,0.0,8.0,0
"Paulas Passage 3, 1",1799,København,55.66745284376803,12.53173043153657,1,5,81,0,11.03944379434466,62283,5045000,3807,216858.0,466858.0,7.892548885771319,0.0,8.0,0
