Address,Zip_code,Municipality,Latitude,Longitude,Floor,Rooms,Area,Land_area,Price,Sqm_price,log_sqm_price,Price_development,Owner_expense,Sqm_owner_expenses,Yearly_expenses,First_year_expenses,Sqm_yearly_expenses,log_sqm_yearly_exp,Energy_saving,Days_on_market,School_dist,Metro_dist,Jail_dist,Centrum_coor
"Egeparken 33A, st TV",2680,Solrød,55.535860279672306,12.21836397212812,0,4,102,0,1995000,19558,9.88113968887222,0.0,3171,31.088235294117645,105996.0,200996.0,1039.1764705882354,6.9461838232488615,4.0,185,0.982601038650736,24.074730380142547,24.591289207814032,27.42141996228708
"Centrumgaden 18, 1 TV",2750,Egedal,55.730592318187846,12.360410640149569,1,4,130,0,2545000,19576,9.882059605122508,-3.8,2271,17.46923076923077,113676.0,238676.0,874.4307692307692,6.773573125207952,3.0,154,2.7024994315571083,9.52339295984456,13.453770670951895,13.905590901774564
Egebo 14A,2620,Albertslund,55.66592168189084,12.339622031523659,0,6,172,0,3395000,19738,9.890300990731953,-2.9,5357,31.1453488372093,179688.0,344688.0,1044.6976744186047,6.9514828157651785,5.0,150,2.793454299255884,9.820721798243984,12.492275355588456,14.372058494635985
"Topperne 16, 2 23",2620,Albertslund,55.670663404460534,12.34147402848666,2,4,105,0,2075000,19761,9.891465577308802,0.0,3352,31.923809523809524,110814.0,210814.0,1055.3714285714286,6.961648048946443,3.0,36,2.700656261020808,9.591407682335813,12.402685237964835,14.19027656160078
"Frederikssundsvej 346, 6 608",2700,København,55.712980534164934,12.469856333110108,6,1,35,0,695000,19857,9.896311868787034,0.0,1669,47.68571428571428,43902.0,73902.0,1254.3428571428572,7.1343670946226725,3.0,16,1.3503868660107117,3.155289561820953,6.325175496845003,6.830672225373541
"Taastrup Vænge 53, 1 th",2630,Høje-Taastrup,55.64375684667865,12.29217106466341,1,4,100,0,1995000,19950,9.900984422318011,0.0,3624,36.24,111432.0,206432.0,1114.32,7.015999632379776,2.0,116,1.081885473903928,13.422725943762186,15.616439753406588,17.79612047215044
"Vejlebrovej 98, st",2635,Ishøj,55.61260574544386,12.362613487665946,0,4,117,0,2350000,20085,9.907728546793383,-5.8,4348,37.16239316239317,132006.0,247006.0,1128.2564102564102,7.02842872028318,3.0,85,1.9294499257639748,11.599678476239689,12.363172017360172,15.068497182259998
"Ved Amagerport 12, st tv",2300,Tårnby,55.66716829574082,12.59595995134056,0,2,159,0,3195000,20094,9.90817654202226,0.0,4318,27.157232704402517,160440.0,315440.0,1009.0566037735847,6.916771117663758,3.0,52,1.4270407360545447,0.5968971533847728,1.5628204797680465,2.6815101362756817
"Sallingvej 61, st 4",2720,Frederiksberg,55.6927475503751,12.49937385451233,0,4,113,0,2295000,20309,9.91881941653311,-8.0,4643,41.088495575221245,133830.0,243830.0,1184.3362831858408,7.076937798078079,3.0,150,0.9463409582662106,0.7903986247463397,3.984344598904195,4.283448420978345
"Spaden B 4, 3 2",2630,Høje-Taastrup,55.651445778888856,12.275994006190093,3,4,98,0,1995000,20357,9.921180112067047,0.0,4374,44.63265306122449,120432.0,215432.0,1228.8979591836735,7.113873078603741,3.0,1,1.309851936660875,14.109866228558435,16.53921829911455,18.59466610463362
