date,identifier,type,value,country
1864-01-08,EIE00101859,TMAX,1.7,EI
1864-01-08,BE000006447,TMAX,1.8,BE
1864-01-08,AGE00135039,TMAX,15.0,AG
1864-01-08,GME00125218,TMAX,-4.3,GM
1864-01-08,EZE00100082,TMAX,-8.3,EZ
1864-01-08,ITE00100554,TMAX,1.0,IT
1864-01-08,ASN00066062,TMAX,23.3,AS
1864-01-08,AU000005901,TMAX,-4.5,AU
1864-01-08,GM000004204,TMAX,-3.5,GM
1864-01-08,UK000047811,TMAX,1.1,UK
1864-01-08,UK000056225,TMAX,4.4,UK
1864-01-08,SZ000006717,TMAX,-9.6,SZ
1864-01-09,ITE00100550,TMAX,1.3,IT
1864-01-09,ASN00086071,TMAX,30.0,AS
1864-01-09,CA006158350,TMAX,-9.4,CA
1864-01-09,EIE00101859,TMAX,3.3,EI
1864-01-09,BE000006447,TMAX,3.5,BE
1864-01-09,AGE00135039,TMAX,14.5,AG
1864-01-09,GME00125218,TMAX,-6.3,GM
1864-01-09,EZE00100082,TMAX,-6.5,EZ
1864-01-09,ITE00100554,TMAX,0.5,IT
1864-01-09,ASN00066062,TMAX,25.6,AS
1864-01-09,AU000005901,TMAX,-8.5,AU
1864-01-09,GM000004204,TMAX,-6.6,GM
1864-01-09,UK000047811,TMAX,5.8,UK
1864-01-09,UK000056225,TMAX,5.8,UK
1864-01-09,SZ000006717,TMAX,-9.4,SZ
1864-01-10,ITE00100550,TMAX,0.6,IT
1864-01-10,ASN00086071,TMAX,20.5,AS
1864-01-10,CA006158350,TMAX,-7.2,CA
1864-01-10,EIE00101859,TMAX,5.0,EI
1864-01-10,BE000006447,TMAX,4.2,BE
1864-01-10,GME00125218,TMAX,-9.4,GM
1864-01-10,EZE00100082,TMAX,-7.9,EZ
1864-01-10,ITE00100554,TMAX,0.7,IT
1864-01-10,ASN00066062,TMAX,30.4,AS
1864-01-10,AU000005901,TMAX,-6.6,AU
1864-01-10,GM000004204,TMAX,-6.4,GM
1864-01-10,UK000047811,TMAX,7.4,UK
1864-01-10,UK000056225,TMAX,7.2,UK
1864-01-10,SZ000006717,TMAX,-7.3,SZ
1864-01-11,ITE00100550,TMAX,-1.5,IT
1864-01-11,ASN00086071,TMAX,23.9,AS
1864-01-11,CA006158350,TMAX,-5.6,CA
1864-01-11,EIE00101859,TMAX,6.7,EI
1864-01-11,BE000006447,TMAX,3.7,BE
1864-01-11,AGE00135039,TMAX,13.5,AG
1864-01-11,GME00125218,TMAX,-8.3,GM
1864-01-11,EZE00100082,TMAX,-8.7,EZ
1864-01-11,ITE00100554,TMAX,-0.4,IT
1864-01-11,ASN00066062,TMAX,24.1,AS
1864-01-11,AU000005901,TMAX,-4.5,AU
1864-01-11,GM000004204,TMAX,-9.5,GM
1864-01-11,UK000047811,TMAX,8.0,UK
1864-01-11,UK000056225,TMAX,5.4,UK
1864-01-11,SZ000006717,TMAX,-5.8,SZ
1864-01-12,ITE00100550,TMAX,-2.5,IT
1864-01-12,ASN00086071,TMAX,19.3,AS
1864-01-12,CA006158350,TMAX,1.1,CA
1864-01-12,EIE00101859,TMAX,8.3,EI
1864-01-12,BE000006447,TMAX,2.2,BE
